STOREKEY,MONTH_DATE,MONTHLY_REVENUE,REVENUE_QUARTILE,STORE_PERFORMANCE_LABEL
18,2016-02-01,2507.96,1,LOW_PERFORMANCE
34,2016-02-01,2951.09,1,LOW_PERFORMANCE
20,2016-02-01,3122.48,1,LOW_PERFORMANCE
39,2016-02-01,3930.4199999999996,1,LOW_PERFORMANCE
14,2016-02-01,3946.5,1,LOW_PERFORMANCE
32,2016-02-01,4069.9,1,LOW_PERFORMANCE
54,2016-02-01,4105.79,1,LOW_PERFORMANCE
17,2016-02-01,5197.45,1,LOW_PERFORMANCE
36,2016-02-01,5204.58,2,LOW_PERFORMANCE
48,2016-02-01,5253.77,2,LOW_PERFORMANCE
29,2016-02-01,6011.41,2,LOW_PERFORMANCE
6,2016-02-01,7991.99,2,LOW_PERFORMANCE
23,2016-02-01,8102.01,2,LOW_PERFORMANCE
31,2016-02-01,8441.77,2,LOW_PERFORMANCE
56,2016-02-01,9224.61,2,LOW_PERFORMANCE
33,2016-02-01,9288.859999999999,2,LOW_PERFORMANCE
43,2016-02-01,9585.579999999998,2,LOW_PERFORMANCE
47,2016-02-01,9705.849999999997,2,LOW_PERFORMANCE
16,2016-02-01,9900.9,2,LOW_PERFORMANCE
57,2016-02-01,10169.449999999999,2,LOW_PERFORMANCE
19,2016-02-01,10882.56,2,LOW_PERFORMANCE
38,2016-02-01,11303.02,3,LOW_PERFORMANCE
4,2016-02-01,13458.64,3,LOW_PERFORMANCE
22,2016-02-01,14784.69,3,LOW_PERFORMANCE
53,2016-02-01,14941.33,3,LOW_PERFORMANCE
65,2016-02-01,16169.59,3,LOW_PERFORMANCE
42,2016-02-01,17334.74,3,LOW_PERFORMANCE
51,2016-02-01,18166.8,3,LOW_PERFORMANCE
50,2016-02-01,18261.449999999997,3,LOW_PERFORMANCE
55,2016-02-01,18429.699999999997,3,LOW_PERFORMANCE
28,2016-02-01,19966.69,3,LOW_PERFORMANCE
10,2016-02-01,20032.72,3,LOW_PERFORMANCE
30,2016-02-01,24242.459999999995,3,LOW_PERFORMANCE
66,2016-02-01,24402.760000000002,3,LOW_PERFORMANCE
9,2016-02-01,24607.94000000001,4,HIGH_PERFORMANCE
63,2016-02-01,25761.49000000001,4,HIGH_PERFORMANCE
8,2016-02-01,26214.13,4,HIGH_PERFORMANCE
41,2016-02-01,26548.67,4,HIGH_PERFORMANCE
61,2016-02-01,28535.260000000002,4,HIGH_PERFORMANCE
37,2016-02-01,31936.460000000003,4,HIGH_PERFORMANCE
59,2016-02-01,33259.93000000001,4,HIGH_PERFORMANCE
5,2016-02-01,36520.89,4,HIGH_PERFORMANCE
27,2016-02-01,37382.25,4,HIGH_PERFORMANCE
24,2016-02-01,42272.02,4,HIGH_PERFORMANCE
44,2016-02-01,49434.22,4,HIGH_PERFORMANCE
64,2016-02-01,53761.469999999994,4,HIGH_PERFORMANCE
0,2016-02-01,97945.21999999999,4,HIGH_PERFORMANCE
47,2016-03-01,432.09999999999997,1,LOW_PERFORMANCE
41,2016-03-01,519.94,1,LOW_PERFORMANCE
40,2016-03-01,624,1,LOW_PERFORMANCE
33,2016-03-01,796,1,LOW_PERFORMANCE
54,2016-03-01,966.99,1,LOW_PERFORMANCE
20,2016-03-01,1017.95,1,LOW_PERFORMANCE
24,2016-03-01,1514.96,1,LOW_PERFORMANCE
12,2016-03-01,1608.9299999999998,1,LOW_PERFORMANCE
50,2016-03-01,1675.75,1,LOW_PERFORMANCE
65,2016-03-01,2023,1,LOW_PERFORMANCE
19,2016-03-01,2033.72,2,LOW_PERFORMANCE
32,2016-03-01,3362.94,2,LOW_PERFORMANCE
10,2016-03-01,3372.77,2,LOW_PERFORMANCE
36,2016-03-01,3835.72,2,LOW_PERFORMANCE
37,2016-03-01,3967.87,2,LOW_PERFORMANCE
43,2016-03-01,4382.54,2,LOW_PERFORMANCE
53,2016-03-01,4781.12,2,LOW_PERFORMANCE
57,2016-03-01,4861.24,2,LOW_PERFORMANCE
6,2016-03-01,4863.83,2,LOW_PERFORMANCE
51,2016-03-01,5344.92,2,LOW_PERFORMANCE
42,2016-03-01,5536.09,3,LOW_PERFORMANCE
59,2016-03-01,6252.76,3,LOW_PERFORMANCE
38,2016-03-01,6325.56,3,LOW_PERFORMANCE
63,2016-03-01,6518.9,3,LOW_PERFORMANCE
66,2016-03-01,6949.449999999999,3,LOW_PERFORMANCE
2,2016-03-01,8969.609999999999,3,LOW_PERFORMANCE
34,2016-03-01,11273.45,3,LOW_PERFORMANCE
39,2016-03-01,11326.52,3,LOW_PERFORMANCE
8,2016-03-01,12299.91,3,LOW_PERFORMANCE
9,2016-03-01,13152.669999999998,3,LOW_PERFORMANCE
45,2016-03-01,14693.29,4,HIGH_PERFORMANCE
30,2016-03-01,15143.25,4,HIGH_PERFORMANCE
29,2016-03-01,15589.97,4,HIGH_PERFORMANCE
55,2016-03-01,20167.79,4,HIGH_PERFORMANCE
61,2016-03-01,21282.1,4,HIGH_PERFORMANCE
28,2016-03-01,21683.41,4,HIGH_PERFORMANCE
64,2016-03-01,21854.43,4,HIGH_PERFORMANCE
0,2016-03-01,22409.490000000005,4,HIGH_PERFORMANCE
48,2016-03-01,44992.41999999999,4,HIGH_PERFORMANCE
29,2016-04-01,47.790000000000006,1,LOW_PERFORMANCE
63,2016-04-01,161.78,1,LOW_PERFORMANCE
42,2016-04-01,398.97,1,LOW_PERFORMANCE
6,2016-04-01,526.97,1,LOW_PERFORMANCE
48,2016-04-01,555.95,1,LOW_PERFORMANCE
22,2016-04-01,1146.82,1,LOW_PERFORMANCE
66,2016-04-01,1561.98,1,LOW_PERFORMANCE
38,2016-04-01,1574.94,2,LOW_PERFORMANCE
61,2016-04-01,1712.96,2,LOW_PERFORMANCE
8,2016-04-01,1863.18,2,LOW_PERFORMANCE
2,2016-04-01,2359.53,2,LOW_PERFORMANCE
13,2016-04-01,2396,2,LOW_PERFORMANCE
28,2016-04-01,2571.12,2,LOW_PERFORMANCE
4,2016-04-01,3004.8900000000003,3,LOW_PERFORMANCE
39,2016-04-01,3427.99,3,LOW_PERFORMANCE
19,2016-04-01,4132.780000000001,3,LOW_PERFORMANCE
41,2016-04-01,4879.99,3,LOW_PERFORMANCE
24,2016-04-01,5903.219999999999,3,LOW_PERFORMANCE
45,2016-04-01,6382.929999999999,3,LOW_PERFORMANCE
37,2016-04-01,6534.94,4,HIGH_PERFORMANCE
65,2016-04-01,9471.66,4,HIGH_PERFORMANCE
9,2016-04-01,9570.19,4,HIGH_PERFORMANCE
5,2016-04-01,11180.91,4,HIGH_PERFORMANCE
44,2016-04-01,13325.919999999998,4,HIGH_PERFORMANCE
0,2016-04-01,15898.220000000001,4,HIGH_PERFORMANCE
13,2016-05-01,29.97,1,LOW_PERFORMANCE
18,2016-05-01,198,1,LOW_PERFORMANCE
16,2016-05-01,779.66,1,LOW_PERFORMANCE
53,2016-05-01,1052.15,1,LOW_PERFORMANCE
19,2016-05-01,1163.84,1,LOW_PERFORMANCE
23,2016-05-01,1978.6999999999998,1,LOW_PERFORMANCE
41,2016-05-01,2009.26,1,LOW_PERFORMANCE
32,2016-05-01,2105.94,1,LOW_PERFORMANCE
44,2016-05-01,2163.98,1,LOW_PERFORMANCE
12,2016-05-01,2526.23,1,LOW_PERFORMANCE
45,2016-05-01,2662.3500000000004,1,LOW_PERFORMANCE
36,2016-05-01,2980.04,1,LOW_PERFORMANCE
22,2016-05-01,3159,2,LOW_PERFORMANCE
9,2016-05-01,3191.01,2,LOW_PERFORMANCE
5,2016-05-01,3663.79,2,LOW_PERFORMANCE
15,2016-05-01,4050,2,LOW_PERFORMANCE
54,2016-05-01,4106.85,2,LOW_PERFORMANCE
64,2016-05-01,4497.2,2,LOW_PERFORMANCE
37,2016-05-01,5856,2,LOW_PERFORMANCE
65,2016-05-01,6015.59,2,LOW_PERFORMANCE
4,2016-05-01,6085.9,2,LOW_PERFORMANCE
20,2016-05-01,6286.49,2,LOW_PERFORMANCE
8,2016-05-01,7028.05,2,LOW_PERFORMANCE
6,2016-05-01,7873.72,2,LOW_PERFORMANCE
59,2016-05-01,7915.77,3,LOW_PERFORMANCE
40,2016-05-01,8203.24,3,LOW_PERFORMANCE
29,2016-05-01,8538.589999999998,3,LOW_PERFORMANCE
30,2016-05-01,8715.64,3,LOW_PERFORMANCE
51,2016-05-01,9287.050000000001,3,LOW_PERFORMANCE
43,2016-05-01,12175.36,3,LOW_PERFORMANCE
10,2016-05-01,13259.93,3,LOW_PERFORMANCE
47,2016-05-01,13369.93,3,LOW_PERFORMANCE
57,2016-05-01,13894.03,3,LOW_PERFORMANCE
27,2016-05-01,14590.93,3,LOW_PERFORMANCE
66,2016-05-01,15530.839999999998,3,LOW_PERFORMANCE
61,2016-05-01,18190.17,3,LOW_PERFORMANCE
39,2016-05-01,18226.699999999997,4,HIGH_PERFORMANCE
50,2016-05-01,20819.56,4,HIGH_PERFORMANCE
42,2016-05-01,22068.690000000002,4,HIGH_PERFORMANCE
63,2016-05-01,23165.260000000002,4,HIGH_PERFORMANCE
38,2016-05-01,24475.84,4,HIGH_PERFORMANCE
48,2016-05-01,29510.560000000005,4,HIGH_PERFORMANCE
33,2016-05-01,31524.559999999998,4,HIGH_PERFORMANCE
56,2016-05-01,43369.63,4,HIGH_PERFORMANCE
55,2016-05-01,50189.70999999999,4,HIGH_PERFORMANCE
0,2016-05-01,52770.81999999999,4,HIGH_PERFORMANCE
24,2016-05-01,54729.65,4,HIGH_PERFORMANCE
5,2016-06-01,527.98,1,LOW_PERFORMANCE
20,2016-06-01,571.66,1,LOW_PERFORMANCE
56,2016-06-01,1414.0600000000002,1,LOW_PERFORMANCE
22,2016-06-01,1422.6,1,LOW_PERFORMANCE
4,2016-06-01,1582,1,LOW_PERFORMANCE
1,2016-06-01,1837.5,1,LOW_PERFORMANCE
19,2016-06-01,2805.9700000000003,1,LOW_PERFORMANCE
50,2016-06-01,3035.84,1,LOW_PERFORMANCE
29,2016-06-01,3206.13,1,LOW_PERFORMANCE
32,2016-06-01,3317.8,1,LOW_PERFORMANCE
41,2016-06-01,3672.5499999999997,1,LOW_PERFORMANCE
40,2016-06-01,4781.82,1,LOW_PERFORMANCE
31,2016-06-01,5757.9,2,LOW_PERFORMANCE
36,2016-06-01,5843.62,2,LOW_PERFORMANCE
44,2016-06-01,6350.0199999999995,2,LOW_PERFORMANCE
66,2016-06-01,6672.67,2,LOW_PERFORMANCE
34,2016-06-01,6968,2,LOW_PERFORMANCE
54,2016-06-01,7014.38,2,LOW_PERFORMANCE
57,2016-06-01,7406.849999999999,2,LOW_PERFORMANCE
23,2016-06-01,7669.120000000001,2,LOW_PERFORMANCE
45,2016-06-01,7679,2,LOW_PERFORMANCE
6,2016-06-01,7837.81,2,LOW_PERFORMANCE
28,2016-06-01,8524.51,2,LOW_PERFORMANCE
39,2016-06-01,9483.13,2,LOW_PERFORMANCE
48,2016-06-01,9599.92,3,LOW_PERFORMANCE
24,2016-06-01,9683.66,3,LOW_PERFORMANCE
30,2016-06-01,10161.9,3,LOW_PERFORMANCE
27,2016-06-01,10374.499999999998,3,LOW_PERFORMANCE
55,2016-06-01,11138.759999999998,3,LOW_PERFORMANCE
8,2016-06-01,11503.46,3,LOW_PERFORMANCE
16,2016-06-01,11562.759999999998,3,LOW_PERFORMANCE
64,2016-06-01,11824.96,3,LOW_PERFORMANCE
42,2016-06-01,11871.929999999998,3,LOW_PERFORMANCE
37,2016-06-01,12125.48,3,LOW_PERFORMANCE
59,2016-06-01,12376.15,3,LOW_PERFORMANCE
51,2016-06-01,13294.899999999996,3,LOW_PERFORMANCE
18,2016-06-01,13506.26,4,HIGH_PERFORMANCE
61,2016-06-01,14059.569999999998,4,HIGH_PERFORMANCE
47,2016-06-01,14401.48,4,HIGH_PERFORMANCE
65,2016-06-01,14814.459999999997,4,HIGH_PERFORMANCE
9,2016-06-01,15264.49,4,HIGH_PERFORMANCE
53,2016-06-01,16881.239999999998,4,HIGH_PERFORMANCE
43,2016-06-01,19545.53,4,HIGH_PERFORMANCE
10,2016-06-01,19597.41,4,HIGH_PERFORMANCE
63,2016-06-01,20395.46,4,HIGH_PERFORMANCE
38,2016-06-01,29348.579999999998,4,HIGH_PERFORMANCE
0,2016-06-01,89869.5,4,HIGH_PERFORMANCE
15,2016-07-01,20.990000000000002,1,LOW_PERFORMANCE
50,2016-07-01,118.83999999999999,1,LOW_PERFORMANCE
36,2016-07-01,598,1,LOW_PERFORMANCE
20,2016-07-01,1120,1,LOW_PERFORMANCE
33,2016-07-01,1208.93,1,LOW_PERFORMANCE
61,2016-07-01,2246.54,1,LOW_PERFORMANCE
55,2016-07-01,2268.79,1,LOW_PERFORMANCE
24,2016-07-01,2278.48,1,LOW_PERFORMANCE
28,2016-07-01,2715.96,1,LOW_PERFORMANCE
39,2016-07-01,2886.86,1,LOW_PERFORMANCE
64,2016-07-01,3046.0399999999995,1,LOW_PERFORMANCE
12,2016-07-01,3420.63,2,LOW_PERFORMANCE
27,2016-07-01,3477.3599999999997,2,LOW_PERFORMANCE
44,2016-07-01,4295.96,2,LOW_PERFORMANCE
31,2016-07-01,4367.41,2,LOW_PERFORMANCE
19,2016-07-01,4480.84,2,LOW_PERFORMANCE
37,2016-07-01,4567.93,2,LOW_PERFORMANCE
10,2016-07-01,4735,2,LOW_PERFORMANCE
45,2016-07-01,5386.73,2,LOW_PERFORMANCE
6,2016-07-01,5975.97,2,LOW_PERFORMANCE
66,2016-07-01,6116.38,2,LOW_PERFORMANCE
9,2016-07-01,6507.889999999999,2,LOW_PERFORMANCE
65,2016-07-01,6988.07,3,LOW_PERFORMANCE
53,2016-07-01,7192.589999999999,3,LOW_PERFORMANCE
40,2016-07-01,8073.009999999999,3,LOW_PERFORMANCE
13,2016-07-01,8107.949999999999,3,LOW_PERFORMANCE
57,2016-07-01,8649.189999999999,3,LOW_PERFORMANCE
51,2016-07-01,9760.58,3,LOW_PERFORMANCE
34,2016-07-01,9973.8,3,LOW_PERFORMANCE
43,2016-07-01,10160.32,3,LOW_PERFORMANCE
42,2016-07-01,10681.81,3,LOW_PERFORMANCE
47,2016-07-01,11033.07,3,LOW_PERFORMANCE
54,2016-07-01,11299.42,3,LOW_PERFORMANCE
56,2016-07-01,11558.93,4,HIGH_PERFORMANCE
63,2016-07-01,12537.23,4,HIGH_PERFORMANCE
48,2016-07-01,13668.529999999997,4,HIGH_PERFORMANCE
41,2016-07-01,14006.99,4,HIGH_PERFORMANCE
8,2016-07-01,14057.249999999998,4,HIGH_PERFORMANCE
38,2016-07-01,15056.77,4,HIGH_PERFORMANCE
59,2016-07-01,17770.680000000004,4,HIGH_PERFORMANCE
29,2016-07-01,19726.39,4,HIGH_PERFORMANCE
30,2016-07-01,30217.260000000002,4,HIGH_PERFORMANCE
0,2016-07-01,132598.46000000002,4,HIGH_PERFORMANCE
17,2016-08-01,101.99,1,LOW_PERFORMANCE
30,2016-08-01,293.5,1,LOW_PERFORMANCE
12,2016-08-01,433.95,1,LOW_PERFORMANCE
33,2016-08-01,511.95,1,LOW_PERFORMANCE
15,2016-08-01,580.28,1,LOW_PERFORMANCE
34,2016-08-01,1216.4,1,LOW_PERFORMANCE
39,2016-08-01,1621.6399999999999,1,LOW_PERFORMANCE
63,2016-08-01,1955.94,1,LOW_PERFORMANCE
61,2016-08-01,2290.97,1,LOW_PERFORMANCE
1,2016-08-01,2816.4,1,LOW_PERFORMANCE
5,2016-08-01,2949.6399999999994,1,LOW_PERFORMANCE
40,2016-08-01,3226.5800000000004,1,LOW_PERFORMANCE
66,2016-08-01,3715.98,2,LOW_PERFORMANCE
8,2016-08-01,3750.7200000000003,2,LOW_PERFORMANCE
6,2016-08-01,4182.88,2,LOW_PERFORMANCE
31,2016-08-01,4238.47,2,LOW_PERFORMANCE
10,2016-08-01,4497.469999999999,2,LOW_PERFORMANCE
19,2016-08-01,4587.55,2,LOW_PERFORMANCE
18,2016-08-01,4919.09,2,LOW_PERFORMANCE
32,2016-08-01,5232.9400000000005,2,LOW_PERFORMANCE
27,2016-08-01,5437.41,2,LOW_PERFORMANCE
36,2016-08-01,5790.44,2,LOW_PERFORMANCE
48,2016-08-01,6251.99,2,LOW_PERFORMANCE
20,2016-08-01,6376.05,2,LOW_PERFORMANCE
45,2016-08-01,6490.599999999999,3,LOW_PERFORMANCE
65,2016-08-01,6700.87,3,LOW_PERFORMANCE
47,2016-08-01,6718.79,3,LOW_PERFORMANCE
41,2016-08-01,6735.869999999999,3,LOW_PERFORMANCE
9,2016-08-01,6864,3,LOW_PERFORMANCE
38,2016-08-01,8121.99,3,LOW_PERFORMANCE
44,2016-08-01,8224.41,3,LOW_PERFORMANCE
37,2016-08-01,8303.880000000001,3,LOW_PERFORMANCE
57,2016-08-01,8381.750000000002,3,LOW_PERFORMANCE
50,2016-08-01,8699.46,3,LOW_PERFORMANCE
28,2016-08-01,11231.25,3,LOW_PERFORMANCE
43,2016-08-01,12138.8,3,LOW_PERFORMANCE
42,2016-08-01,12675.3,4,HIGH_PERFORMANCE
22,2016-08-01,13949.960000000001,4,HIGH_PERFORMANCE
53,2016-08-01,17166.510000000002,4,HIGH_PERFORMANCE
29,2016-08-01,20345.529999999995,4,HIGH_PERFORMANCE
24,2016-08-01,23657.650000000005,4,HIGH_PERFORMANCE
51,2016-08-01,23962.509999999995,4,HIGH_PERFORMANCE
55,2016-08-01,26989.130000000005,4,HIGH_PERFORMANCE
56,2016-08-01,33179.83,4,HIGH_PERFORMANCE
64,2016-08-01,33842.25,4,HIGH_PERFORMANCE
59,2016-08-01,36494.880000000005,4,HIGH_PERFORMANCE
54,2016-08-01,45752.53000000001,4,HIGH_PERFORMANCE
0,2016-08-01,83904.71,4,HIGH_PERFORMANCE
15,2016-09-01,267,1,LOW_PERFORMANCE
30,2016-09-01,505.46000000000004,1,LOW_PERFORMANCE
32,2016-09-01,717.9200000000001,1,LOW_PERFORMANCE
31,2016-09-01,1103.87,1,LOW_PERFORMANCE
22,2016-09-01,1529.8300000000002,1,LOW_PERFORMANCE
4,2016-09-01,1882.56,1,LOW_PERFORMANCE
13,2016-09-01,1957.73,1,LOW_PERFORMANCE
24,2016-09-01,2836.65,1,LOW_PERFORMANCE
19,2016-09-01,2847.0899999999997,1,LOW_PERFORMANCE
27,2016-09-01,3196.75,1,LOW_PERFORMANCE
61,2016-09-01,3280.39,1,LOW_PERFORMANCE
28,2016-09-01,3726.64,1,LOW_PERFORMANCE
1,2016-09-01,4587.68,1,LOW_PERFORMANCE
47,2016-09-01,4663.66,2,LOW_PERFORMANCE
36,2016-09-01,4781.200000000001,2,LOW_PERFORMANCE
18,2016-09-01,4861,2,LOW_PERFORMANCE
29,2016-09-01,5304.76,2,LOW_PERFORMANCE
20,2016-09-01,5614.4400000000005,2,LOW_PERFORMANCE
39,2016-09-01,5759.27,2,LOW_PERFORMANCE
48,2016-09-01,5818.799999999999,2,LOW_PERFORMANCE
56,2016-09-01,6185.56,2,LOW_PERFORMANCE
50,2016-09-01,6280.379999999999,2,LOW_PERFORMANCE
45,2016-09-01,6640.92,2,LOW_PERFORMANCE
37,2016-09-01,6794.969999999999,2,LOW_PERFORMANCE
44,2016-09-01,6972.74,2,LOW_PERFORMANCE
40,2016-09-01,7079.37,2,LOW_PERFORMANCE
23,2016-09-01,7388.95,3,LOW_PERFORMANCE
55,2016-09-01,7473.88,3,LOW_PERFORMANCE
10,2016-09-01,7502.889999999999,3,LOW_PERFORMANCE
6,2016-09-01,7665.98,3,LOW_PERFORMANCE
41,2016-09-01,8108.679999999999,3,LOW_PERFORMANCE
42,2016-09-01,8261.86,3,LOW_PERFORMANCE
51,2016-09-01,8475.259999999998,3,LOW_PERFORMANCE
16,2016-09-01,8511.820000000002,3,LOW_PERFORMANCE
34,2016-09-01,8610.93,3,LOW_PERFORMANCE
53,2016-09-01,11080.519999999999,3,LOW_PERFORMANCE
8,2016-09-01,12385.800000000001,3,LOW_PERFORMANCE
38,2016-09-01,13856.199999999997,3,LOW_PERFORMANCE
59,2016-09-01,13915.17,4,HIGH_PERFORMANCE
33,2016-09-01,13960.3,4,HIGH_PERFORMANCE
5,2016-09-01,16226.36,4,HIGH_PERFORMANCE
43,2016-09-01,17420.100000000002,4,HIGH_PERFORMANCE
64,2016-09-01,20126.089999999997,4,HIGH_PERFORMANCE
63,2016-09-01,20432.780000000002,4,HIGH_PERFORMANCE
65,2016-09-01,23650.550000000003,4,HIGH_PERFORMANCE
54,2016-09-01,26185.809999999998,4,HIGH_PERFORMANCE
66,2016-09-01,31682.879999999997,4,HIGH_PERFORMANCE
57,2016-09-01,32133.720000000005,4,HIGH_PERFORMANCE
9,2016-09-01,61827.89000000001,4,HIGH_PERFORMANCE
0,2016-09-01,75340.06000000001,4,HIGH_PERFORMANCE
24,2016-10-01,198.9,1,LOW_PERFORMANCE
4,2016-10-01,917.3399999999999,1,LOW_PERFORMANCE
44,2016-10-01,1058.96,1,LOW_PERFORMANCE
61,2016-10-01,1270.41,1,LOW_PERFORMANCE
53,2016-10-01,1323.24,1,LOW_PERFORMANCE
17,2016-10-01,1582,1,LOW_PERFORMANCE
20,2016-10-01,1684.4499999999998,1,LOW_PERFORMANCE
34,2016-10-01,2421.91,1,LOW_PERFORMANCE
22,2016-10-01,2513.5,1,LOW_PERFORMANCE
39,2016-10-01,2581.33,1,LOW_PERFORMANCE
51,2016-10-01,2763.0299999999997,1,LOW_PERFORMANCE
33,2016-10-01,2989.86,1,LOW_PERFORMANCE
6,2016-10-01,3529.96,2,LOW_PERFORMANCE
30,2016-10-01,3653.0299999999997,2,LOW_PERFORMANCE
32,2016-10-01,3701.81,2,LOW_PERFORMANCE
10,2016-10-01,3831.13,2,LOW_PERFORMANCE
64,2016-10-01,3957,2,LOW_PERFORMANCE
27,2016-10-01,4163.889999999999,2,LOW_PERFORMANCE
40,2016-10-01,4624.92,2,LOW_PERFORMANCE
28,2016-10-01,5479.950000000001,2,LOW_PERFORMANCE
43,2016-10-01,6173.63,2,LOW_PERFORMANCE
5,2016-10-01,6441.24,2,LOW_PERFORMANCE
65,2016-10-01,6801.26,2,LOW_PERFORMANCE
15,2016-10-01,7223.97,2,LOW_PERFORMANCE
31,2016-10-01,7710.69,3,LOW_PERFORMANCE
23,2016-10-01,7761.869999999999,3,LOW_PERFORMANCE
19,2016-10-01,8623.75,3,LOW_PERFORMANCE
66,2016-10-01,11304.279999999999,3,LOW_PERFORMANCE
59,2016-10-01,11774.53,3,LOW_PERFORMANCE
57,2016-10-01,12450.699999999999,3,LOW_PERFORMANCE
14,2016-10-01,13287.869999999999,3,LOW_PERFORMANCE
29,2016-10-01,14272.3,3,LOW_PERFORMANCE
38,2016-10-01,14576.69,3,LOW_PERFORMANCE
56,2016-10-01,14598.56,3,LOW_PERFORMANCE
47,2016-10-01,15232.43,3,LOW_PERFORMANCE
50,2016-10-01,15338.170000000002,3,LOW_PERFORMANCE
37,2016-10-01,16392.329999999998,4,HIGH_PERFORMANCE
41,2016-10-01,16939.190000000002,4,HIGH_PERFORMANCE
48,2016-10-01,17084.739999999998,4,HIGH_PERFORMANCE
54,2016-10-01,18646.37,4,HIGH_PERFORMANCE
42,2016-10-01,19241.569999999996,4,HIGH_PERFORMANCE
63,2016-10-01,21816.719999999998,4,HIGH_PERFORMANCE
55,2016-10-01,23999.18,4,HIGH_PERFORMANCE
9,2016-10-01,24549.590000000004,4,HIGH_PERFORMANCE
45,2016-10-01,24832.93,4,HIGH_PERFORMANCE
36,2016-10-01,26848.27,4,HIGH_PERFORMANCE
8,2016-10-01,39216.81,4,HIGH_PERFORMANCE
0,2016-10-01,146573.31,4,HIGH_PERFORMANCE
34,2016-11-01,964.65,1,LOW_PERFORMANCE
4,2016-11-01,1373.8400000000001,1,LOW_PERFORMANCE
27,2016-11-01,1486.5400000000002,1,LOW_PERFORMANCE
15,2016-11-01,1582,1,LOW_PERFORMANCE
30,2016-11-01,1995.5100000000002,1,LOW_PERFORMANCE
29,2016-11-01,2251.98,1,LOW_PERFORMANCE
33,2016-11-01,2300.84,1,LOW_PERFORMANCE
42,2016-11-01,2878.7599999999998,1,LOW_PERFORMANCE
19,2016-11-01,3230.58,1,LOW_PERFORMANCE
31,2016-11-01,3399.8599999999997,1,LOW_PERFORMANCE
64,2016-11-01,3755.4800000000005,1,LOW_PERFORMANCE
