YEAR_AND_MONTH,PRODUCTKEY,STOREKEY,TOTAL_UNITS_SOLD,REVENUE_LAST_MONTH,REVENUE_3_LAST_MONTH,MONTH,QUARTER,TARGET_REVENUE_USD
2017-06,65,0,3,362.00,181.00,6,2,543.00
2017-06,100,0,3,360.00,120.00,6,2,360.00
2017-06,129,0,3,1400.00,2200.00,6,2,600.00
2017-06,428,0,6,3876.00,8721.00,6,2,5814.00
2017-06,435,0,5,1079.80,269.95,6,2,1349.75
2017-06,1573,0,6,294.95,117.98,6,2,353.94
2017-06,1588,0,1,83.34,13.89,6,2,13.89
2017-06,1593,0,4,13.89,55.56,6,2,55.56
2017-06,1619,48,1,299.95,59.99,6,2,59.99
2017-06,1634,0,2,69.93,29.97,6,2,19.98
2017-06,1635,0,2,68.67,183.12,6,2,45.78
2017-06,1636,0,1,139.26,12.66,6,2,12.66
2017-06,1656,0,7,959.94,159.99,6,2,1119.93
2017-06,1658,0,1,439.96,439.96,6,2,109.99
2017-06,1659,0,8,259.99,259.99,6,2,2079.92
2017-07,46,0,1,299.90,749.75,7,3,149.95
2017-07,72,0,6,143.85,47.95,7,3,287.70
2017-07,86,0,3,99.99,199.98,7,3,299.97
2017-07,105,0,3,460.00,1035.00,7,3,345.00
2017-07,110,50,2,398.97,797.94,7,3,265.98
2017-07,154,0,1,469.97,4229.73,7,3,469.97
2017-07,184,0,3,99.00,891.00,7,3,297.00
2017-07,187,0,2,649.50,389.70,7,3,259.80
2017-07,419,0,1,369.00,4059.00,7,3,369.00
2017-07,429,0,2,1799.70,1799.70,7,3,1199.80
2017-07,432,0,1,1499.70,2999.40,7,3,499.90
2017-07,441,0,4,689.70,2758.80,7,3,919.60
2017-07,444,0,4,1838.00,6433.00,7,3,3676.00
2017-07,448,0,1,269.90,809.70,7,3,269.90
2017-07,453,0,1,1379.40,459.80,7,3,229.90
2017-07,458,0,1,229.90,2299.00,7,3,229.90
2017-07,1571,0,7,341.94,170.97,7,3,398.93
2017-07,1580,0,4,657.00,219.00,7,3,876.00
2017-07,1581,0,2,219.00,219.00,7,3,438.00
2017-07,1588,0,6,13.89,27.78,7,3,83.34
2017-07,1593,0,3,55.56,41.67,7,3,41.67
2017-07,1594,0,1,19.98,79.92,7,3,9.99
2017-07,1607,0,4,179.99,359.98,7,3,719.96
2017-07,1611,0,5,959.94,319.98,7,3,799.95
2017-07,1616,0,3,170.97,227.96,7,3,170.97
2017-07,1617,0,2,347.94,57.99,7,3,115.98
2017-07,1620,0,5,243.96,60.99,7,3,304.95
2017-07,1624,0,1,219.00,219.00,7,3,219.00
2017-07,1626,0,2,438.00,438.00,7,3,438.00
2017-07,1629,0,5,9.99,9.99,7,3,49.95
2017-07,1642,0,4,57.88,57.88,7,3,231.52
2017-07,1659,0,2,2079.92,1039.96,7,3,519.98
2017-07,2093,0,1,3048.00,1016.00,7,3,508.00
2017-07,2110,0,6,1475.00,1475.00,7,3,8850.00
2017-08,46,0,2,149.95,149.95,8,3,299.90
2017-08,60,8,4,468.00,780.00,8,3,624.00
2017-08,63,0,6,181.00,1086.00,8,3,1086.00
2017-08,65,0,7,543.00,181.00,8,3,1267.00
2017-08,72,0,3,287.70,95.90,8,3,143.85
2017-08,73,0,3,47.95,143.85,8,3,143.85
2017-08,85,0,3,99.99,399.96,8,3,299.97
2017-08,87,0,2,199.98,199.98,8,3,199.98
2017-08,98,0,7,240.00,120.00,8,3,840.00
2017-08,100,0,3,360.00,1200.00,8,3,360.00
2017-08,106,0,2,132.99,265.98,8,3,265.98
2017-08,109,0,1,531.96,398.97,8,3,132.99
2017-08,150,0,2,3554.91,3554.91,8,3,2369.94
2017-08,417,0,2,2396.00,3594.00,8,3,1198.00
2017-08,419,0,1,369.00,738.00,8,3,369.00
2017-08,429,0,1,1199.80,1799.70,8,3,599.90
2017-08,434,0,1,4193.00,1797.00,8,3,599.00
2017-08,440,0,8,1099.75,219.95,8,3,1759.60
2017-08,445,0,7,559.00,1677.00,8,3,3913.00
2017-08,450,0,2,919.00,919.00,8,3,1838.00
2017-08,453,0,6,229.90,919.60,8,3,1379.40
2017-08,1572,0,2,57.99,347.94,8,3,115.98
2017-08,1587,0,1,143.92,17.99,8,3,17.99
2017-08,1591,0,10,25.32,25.32,8,3,126.60
2017-08,1593,0,1,41.67,13.89,8,3,13.89
2017-08,1600,0,2,173.64,57.88,8,3,115.76
2017-08,1602,0,1,359.98,1079.94,8,3,179.99
2017-08,1611,0,6,799.95,319.98,8,3,959.94
2017-08,1619,0,4,179.97,299.95,8,3,239.96
2017-08,1622,0,1,657.00,219.00,8,3,219.00
2017-08,1624,0,2,219.00,1095.00,8,3,438.00
2017-08,1642,0,7,231.52,289.40,8,3,405.16
2017-08,2109,0,3,1802.50,772.50,8,3,772.50
2017-08,2111,0,1,1755.00,6142.50,8,3,877.50
2017-09,75,0,2,151.80,189.75,9,3,75.90
2017-09,81,0,9,283.85,324.40,9,3,364.95
2017-09,83,0,3,299.97,399.96,9,3,299.97
2017-09,85,0,3,299.97,99.99,9,3,299.97
2017-09,87,0,5,199.98,699.93,9,3,499.95
2017-09,91,63,1,449.97,749.95,9,3,149.99
2017-09,97,0,2,337.00,134.80,9,3,134.80
2017-09,98,0,5,840.00,240.00,9,3,600.00
2017-09,103,0,8,575.00,230.00,9,3,920.00
2017-09,109,0,2,132.99,797.94,9,3,265.98
2017-09,417,0,1,1198.00,1797.00,9,3,599.00
2017-09,418,0,1,539.90,1079.80,9,3,269.95
2017-09,442,0,3,269.90,1889.30,9,3,809.70
2017-09,443,0,10,2443.00,349.00,9,3,3490.00
2017-09,448,0,7,269.90,1889.30,9,3,1889.30
2017-09,449,56,1,1396.00,1047.00,9,3,349.00
2017-09,450,0,1,1838.00,919.00,9,3,919.00
2017-09,456,0,3,3354.00,1677.00,9,3,1677.00
2017-09,460,0,4,599.80,299.90,9,3,1199.60
2017-09,1203,0,1,2940.00,1960.00,9,3,980.00
2017-09,1497,0,2,267.00,267.00,9,3,534.00
2017-09,1571,0,1,398.93,398.93,9,3,56.99
2017-09,1572,0,3,115.98,115.98,9,3,173.97
2017-09,1577,0,5,219.00,657.00,9,3,1095.00
2017-09,1596,0,8,12.66,37.98,9,3,101.28
2017-09,1597,0,5,115.76,405.16,9,3,289.40
2017-09,1602,0,1,179.99,539.97,9,3,179.99
2017-09,1605,59,1,579.98,1739.94,9,3,289.99
2017-09,1610,0,9,579.98,1739.94,9,3,2609.91
2017-09,1615,0,3,579.98,289.99,9,3,869.97
2017-09,1617,0,1,115.98,289.95,9,3,57.99
2017-09,1618,0,3,412.93,58.99,9,3,176.97
2017-09,1624,0,4,438.00,219.00,9,3,876.00
2017-09,1646,0,3,319.98,479.97,9,3,479.97
2017-09,1647,0,1,359.98,719.96,9,3,179.99
2017-09,1651,0,6,159.99,319.98,9,3,959.94
2017-09,1653,0,4,659.94,109.99,9,3,439.96
2017-09,1656,0,5,1119.93,1119.93,9,3,799.95
2017-09,1658,0,1,109.99,219.98,9,3,109.99
2017-09,1672,0,4,16.89,135.12,9,3,67.56
2017-09,2109,0,1,772.50,2832.50,9,3,257.50
2017-09,2110,0,3,8850.00,13275.00,9,3,4425.00
2017-10,46,0,2,299.90,299.90,10,4,299.90
2017-10,48,0,7,899.70,449.85,10,4,1049.65
2017-10,50,0,5,799.80,799.80,10,4,999.75
2017-10,60,0,2,312.00,156.00,10,4,312.00
2017-10,78,0,3,121.65,81.10,10,4,121.65
2017-10,81,0,6,364.95,364.95,10,4,243.30
2017-10,87,0,1,499.95,199.98,10,4,99.99
2017-10,89,0,2,1049.93,449.97,10,4,299.98
2017-10,90,0,2,449.97,1499.90,10,4,299.98
2017-10,101,0,3,720.00,240.00,10,4,360.00
2017-10,102,0,1,345.00,805.00,10,4,115.00
2017-10,154,0,2,469.97,939.94,10,4,939.94
2017-10,169,0,5,119.00,833.00,10,4,595.00
2017-10,417,0,5,599.00,2396.00,10,4,2995.00
2017-10,419,0,5,369.00,369.00,10,4,1845.00
2017-10,420,0,2,3499.30,6498.70,10,4,999.80
2017-10,421,0,11,469.00,1407.00,10,4,5159.00
2017-10,424,0,6,2699.50,1889.65,10,4,1619.70
2017-10,431,0,1,369.00,738.00,10,4,369.00
2017-10,432,0,1,499.90,999.80,10,4,499.90
2017-10,435,0,4,1349.75,539.90,10,4,1079.80
2017-10,441,0,4,919.60,229.90,10,4,919.60
2017-10,443,0,4,3490.00,1396.00,10,4,1396.00
2017-10,449,0,11,698.00,349.00,10,4,3839.00
2017-10,452,0,10,1539.65,439.90,10,4,2199.50
2017-10,1203,0,2,980.00,2940.00,10,4,1960.00
2017-10,1454,0,7,398.00,995.00,10,4,1393.00
2017-10,1458,0,1,400.00,800.00,10,4,200.00
2017-10,1490,0,10,129.00,516.00,10,4,1290.00
2017-10,1572,0,1,173.97,57.99,10,4,57.99
2017-10,1586,0,3,139.26,12.66,10,4,37.98
2017-10,1592,0,6,35.98,125.93,10,4,107.94
2017-10,1596,0,7,101.28,12.66,10,4,88.62
2017-10,1612,0,3,719.96,1439.92,10,4,539.97
2017-10,1618,0,2,176.97,235.96,10,4,117.98
2017-10,1642,0,1,405.16,57.88,10,4,57.88
2017-10,1673,0,1,11.00,38.50,10,4,5.50
2017-10,1693,0,7,61.92,13.76,10,4,48.16
2017-10,2086,54,1,6142.50,2632.50,10,4,877.50
2017-10,2089,0,1,772.50,515.00,10,4,257.50
2017-10,2091,0,1,1755.00,877.50,10,4,877.50
2017-10,2094,0,1,257.50,515.00,10,4,257.50
2017-10,2109,0,9,257.50,1802.50,10,4,2317.50
2017-10,2493,0,3,24.99,24.99,10,4,74.97
2017-11,52,0,10,399.90,399.90,11,4,1999.50
2017-11,54,0,1,1480.00,1776.00,11,4,296.00
2017-11,57,0,5,1092.00,312.00,11,4,780.00
2017-11,82,0,1,40.55,81.10,11,4,40.55
2017-11,83,0,7,299.97,299.97,11,4,699.93
2017-11,90,0,4,299.98,149.99,11,4,599.96
2017-11,91,0,6,599.96,299.98,11,4,899.94
2017-11,101,0,2,360.00,120.00,11,4,240.00
2017-11,106,0,2,265.98,664.95,11,4,265.98
2017-11,138,0,6,499.99,1499.97,11,4,2999.94
2017-11,417,0,5,2995.00,1198.00,11,4,2995.00
2017-11,421,0,9,5159.00,938.00,11,4,4221.00
2017-11,422,0,4,969.00,2907.00,11,4,3876.00
2017-11,423,0,2,3594.00,4193.00,11,4,1198.00
2017-11,425,0,1,369.00,369.00,11,4,369.00
2017-11,428,0,1,5814.00,969.00,11,4,969.00
2017-11,430,0,1,539.90,809.85,11,4,269.95
2017-11,439,0,1,2795.00,1118.00,11,4,559.00
2017-11,441,0,3,919.60,689.70,11,4,689.70
2017-11,445,0,8,3913.00,559.00,11,4,4472.00
2017-11,1443,0,4,2356.00,2945.00,11,4,2356.00
2017-11,1587,0,8,17.99,89.95,11,4,143.92
2017-11,1594,0,8,9.99,19.98,11,4,79.92
2017-11,1595,0,1,91.56,45.78,11,4,22.89
2017-11,1599,0,5,289.40,347.28,11,4,289.40
2017-11,1602,0,3,179.99,359.98,11,4,539.97
2017-11,1609,0,2,519.98,1039.96,11,4,519.98
2017-11,1616,0,6,170.97,341.94,11,4,341.94
2017-11,1618,0,4,117.98,412.93,11,4,235.96
2017-11,1619,0,6,239.96,119.98,11,4,359.94
2017-11,1620,0,1,304.95,426.93,11,4,60.99
2017-11,1622,0,5,219.00,657.00,11,4,1095.00
2017-11,1642,0,2,57.88,231.52,11,4,115.76
2017-11,1683,0,3,19.96,34.93,11,4,14.97
2017-11,2091,0,2,877.50,1755.00,11,4,1755.00
2017-11,2093,0,4,508.00,1524.00,11,4,2032.00
2017-11,2510,0,6,24.36,8.12,11,4,24.36
2017-12,47,0,8,149.95,299.90,12,4,1199.60
2017-12,48,0,5,1049.65,449.85,12,4,749.75
2017-12,56,0,2,888.00,296.00,12,4,592.00
2017-12,67,56,1,51.38,77.07,12,4,25.69
2017-12,72,0,5,143.85,143.85,12,4,239.75
2017-12,73,0,4,143.85,335.65,12,4,191.80
2017-12,75,0,3,75.90,75.90,12,4,113.85
2017-12,76,0,4,37.95,151.80,12,4,151.80
2017-12,78,0,2,121.65,121.65,12,4,81.10
2017-12,79,0,1,81.10,81.10,12,4,40.55
2017-12,81,0,1,243.30,283.85,12,4,40.55
2017-12,82,0,6,40.55,121.65,12,4,243.30
2017-12,84,0,3,99.99,699.93,12,4,299.97
2017-12,85,0,1,299.97,99.99,12,4,99.99
2017-12,86,0,11,299.97,99.99,12,4,1099.89
2017-12,93,0,1,876.20,202.20,12,4,67.40
2017-12,98,0,4,600.00,240.00,12,4,480.00
2017-12,99,0,5,840.00,480.00,12,4,600.00
2017-12,101,0,5,240.00,720.00,12,4,600.00
2017-12,104,0,2,115.00,345.00,12,4,230.00
2017-12,105,0,3,345.00,230.00,12,4,345.00
2017-12,112,0,8,999.96,749.97,12,4,1999.92
2017-12,124,0,3,279.99,1679.94,12,4,839.97
2017-12,138,0,4,2999.94,499.99,12,4,1999.96
2017-12,144,0,2,899.97,899.97,12,4,599.98
2017-12,148,0,9,2899.99,8699.97,12,4,26099.91
2017-12,418,0,3,269.95,269.95,12,4,809.85
2017-12,419,0,3,1845.00,369.00,12,4,1107.00
2017-12,421,0,1,4221.00,469.00,12,4,469.00
2017-12,422,0,2,3876.00,969.00,12,4,1938.00
2017-12,424,0,6,1619.70,539.90,12,4,1619.70
2017-12,428,0,4,969.00,3876.00,12,4,3876.00
2017-12,432,0,4,499.90,1499.70,12,4,1999.60
2017-12,434,0,5,599.00,5391.00,12,4,2995.00
2017-12,435,0,2,1079.80,1079.80,12,4,539.90
2017-12,436,0,3,1476.00,738.00,12,4,1107.00
2017-12,441,0,3,689.70,919.60,12,4,689.70
2017-12,443,0,3,1396.00,2443.00,12,4,1047.00
2017-12,443,57,7,3141.00,1396.00,12,4,2443.00
2017-12,444,0,6,3676.00,14704.00,12,4,5514.00
2017-12,445,0,4,4472.00,559.00,12,4,2236.00
2017-12,447,0,10,229.90,459.80,12,4,2299.00
2017-12,449,0,6,3839.00,1047.00,12,4,2094.00
2017-12,450,0,2,919.00,919.00,12,4,1838.00
2017-12,450,54,2,919.00,3676.00,12,4,1838.00
2017-12,451,0,1,4472.00,3354.00,12,4,559.00
2017-12,452,0,5,2199.50,219.95,12,4,1099.75
2017-12,453,0,1,1379.40,1379.40,12,4,229.90
2017-12,455,0,2,1838.00,2757.00,12,4,1838.00
2017-12,456,0,7,1677.00,559.00,12,4,3913.00
2017-12,460,0,1,1199.60,599.80,12,4,299.90
2017-12,534,0,6,278.00,278.00,12,4,834.00
2017-12,1431,0,5,512.00,1536.00,12,4,1280.00
2017-12,1443,0,8,2356.00,1178.00,12,4,4712.00
2017-12,1461,0,2,308.00,2772.00,12,4,616.00
2017-12,1464,0,1,516.00,258.00,12,4,258.00
2017-12,1465,0,10,1393.00,1194.00,12,4,1990.00
2017-12,1490,0,2,1290.00,258.00,12,4,258.00
2017-12,1571,0,5,56.99,341.94,12,4,284.95
2017-12,1572,0,8,57.99,115.98,12,4,463.92
2017-12,1586,0,1,37.98,25.32,12,4,12.66
2017-12,1594,0,2,79.92,19.98,12,4,19.98
2017-12,1596,0,7,88.62,12.66,12,4,88.62
2017-12,1597,0,4,289.40,520.92,12,4,231.52
2017-12,1597,30,3,57.88,57.88,12,4,173.64
2017-12,1598,0,1,173.64,173.64,12,4,57.88
2017-12,1600,0,3,115.76,57.88,12,4,173.64
2017-12,1607,0,2,719.96,1799.90,12,4,359.98
2017-12,1608,0,1,879.92,879.92,12,4,109.99
2017-12,1609,0,13,519.98,2339.91,12,4,3379.87
2017-12,1615,0,1,869.97,869.97,12,4,289.99
2017-12,1616,0,1,341.94,170.97,12,4,56.99
2017-12,1617,0,7,57.99,347.94,12,4,405.93
2017-12,1619,0,10,359.94,179.97,12,4,599.90
2017-12,1622,65,9,438.00,1752.00,12,4,1971.00
2017-12,1624,0,10,876.00,219.00,12,4,2190.00
2017-12,1631,0,3,126.60,113.94,12,4,37.98
2017-12,1632,0,2,35.98,71.96,12,4,35.98
2017-12,1636,8,3,75.96,25.32,12,4,37.98
2017-12,1640,0,8,45.78,68.67,12,4,183.12
2017-12,1646,0,8,479.97,159.99,12,4,1279.92
2017-12,1648,0,3,329.97,329.97,12,4,329.97
2017-12,1651,0,1,959.94,639.96,12,4,159.99
2017-12,2089,47,5,772.50,515.00,12,4,1287.50
2017-12,2109,0,1,2317.50,772.50,12,4,257.50
2017-12,2110,0,4,4425.00,1475.00,12,4,5900.00
2017-12,2494,0,2,2.94,11.76,12,4,5.88
2017-12,2499,0,3,71.16,23.72,12,4,71.16
2017-12,2502,0,1,29.97,49.95,12,4,9.99
2018-01,28,0,1,1999.00,1399.30,1,1,199.90
2018-01,55,0,2,2960.00,1776.00,1,1,592.00
2018-01,56,0,2,592.00,2960.00,1,1,592.00
2018-01,65,0,1,1267.00,362.00,1,1,181.00
2018-01,70,0,2,95.90,95.90,1,1,95.90
2018-01,72,0,7,239.75,287.70,1,1,335.65
2018-01,81,0,4,40.55,364.95,1,1,162.20
2018-01,88,0,3,449.97,1049.93,1,1,449.97
2018-01,91,0,5,899.94,449.97,1,1,749.95
2018-01,93,0,5,67.40,337.00,1,1,337.00
2018-01,94,0,1,337.00,471.80,1,1,67.40
2018-01,97,0,2,134.80,471.80,1,1,134.80
2018-01,97,40,4,67.40,202.20,1,1,269.60
2018-01,98,0,7,480.00,840.00,1,1,840.00
2018-01,99,0,1,600.00,240.00,1,1,120.00
2018-01,102,0,9,115.00,230.00,1,1,1035.00
2018-01,103,0,1,920.00,1035.00,1,1,115.00
2018-01,106,0,4,265.98,132.99,1,1,531.96
2018-01,108,0,4,132.99,797.94,1,1,531.96
2018-01,109,0,1,265.98,531.96,1,1,132.99
2018-01,112,0,8,1999.92,499.98,1,1,1999.92
2018-01,125,0,5,430.20,286.80,1,1,717.00
2018-01,132,0,2,200.00,200.00,1,1,400.00
2018-01,184,0,3,297.00,99.00,1,1,297.00
2018-01,398,0,1,1531.80,1148.85,1,1,382.95
2018-01,417,0,1,2995.00,599.00,1,1,599.00
2018-01,420,0,3,999.80,499.90,1,1,1499.70
2018-01,421,0,6,469.00,5159.00,1,1,2814.00
2018-01,425,0,12,369.00,369.00,1,1,4428.00
2018-01,426,0,5,2999.40,499.90,1,1,2499.50
2018-01,433,0,3,5814.00,969.00,1,1,2907.00
2018-01,434,50,5,2396.00,1198.00,1,1,2995.00
2018-01,440,0,1,1759.60,439.90,1,1,219.95
2018-01,441,0,1,689.70,919.60,1,1,229.90
2018-01,444,0,1,5514.00,1838.00,1,1,919.00
2018-01,445,0,2,2236.00,3913.00,1,1,1118.00
2018-01,449,0,1,2094.00,698.00,1,1,349.00
2018-01,450,0,3,1838.00,1838.00,1,1,2757.00
2018-01,452,0,2,1099.75,1539.65,1,1,439.90
2018-01,453,0,1,229.90,229.90,1,1,229.90
2018-01,456,0,1,3913.00,3354.00,1,1,559.00
2018-01,458,0,6,229.90,459.80,1,1,1379.40
2018-01,1426,0,1,3534.00,1767.00,1,1,589.00
2018-01,1427,0,4,460.00,1150.00,1,1,920.00
2018-01,1443,0,1,4712.00,2356.00,1,1,589.00
2018-01,1446,0,1,289.00,2312.00,1,1,289.00
2018-01,1458,0,1,200.00,200.00,1,1,200.00
2018-01,1464,0,1,258.00,1032.00,1,1,258.00
2018-01,1571,64,2,341.94,398.93,1,1,113.98
2018-01,1584,0,1,9.99,79.92,1,1,9.99
2018-01,1586,0,2,12.66,139.26,1,1,25.32
2018-01,1591,0,4,126.60,75.96,1,1,50.64
2018-01,1594,0,4,19.98,9.99,1,1,39.96
2018-01,1595,0,3,22.89,22.89,1,1,68.67
2018-01,1597,0,5,231.52,115.76,1,1,289.40
2018-01,1598,0,4,57.88,115.76,1,1,231.52
2018-01,1599,0,3,289.40,115.76,1,1,173.64
2018-01,1601,0,5,159.99,639.96,1,1,799.95
2018-01,1603,0,11,549.95,109.99,1,1,1209.89
2018-01,1611,0,1,959.94,959.94,1,1,159.99
2018-01,1616,0,1,56.99,170.97,1,1,56.99
2018-01,1620,0,7,60.99,243.96,1,1,426.93
2018-01,1624,0,6,2190.00,438.00,1,1,1314.00
2018-01,1625,47,2,219.00,438.00,1,1,438.00
2018-01,1629,0,1,49.95,59.94,1,1,9.99
2018-01,1630,0,4,114.45,114.45,1,1,91.56
2018-01,1632,0,1,35.98,143.92,1,1,17.99
2018-01,1635,0,4,45.78,183.12,1,1,91.56
2018-01,1636,0,2,12.66,12.66,1,1,25.32
2018-01,1642,0,1,115.76,405.16,1,1,57.88
2018-01,1645,0,6,115.76,289.40,1,1,347.28
2018-01,1646,0,3,1279.92,319.98,1,1,479.97
2018-01,1649,44,2,1559.94,519.98,1,1,519.98
2018-01,1653,0,4,439.96,329.97,1,1,439.96
2018-01,1656,0,9,799.95,959.94,1,1,1439.91
2018-01,1659,0,4,519.98,259.99,1,1,1039.96
2018-01,1678,0,4,101.34,16.89,1,1,67.56
2018-01,1687,0,2,13.76,20.64,1,1,13.76
2018-01,1694,0,4,44.40,26.64,1,1,35.52
2018-01,1699,0,1,13.76,20.64,1,1,6.88
2018-01,2008,0,1,1999.90,199.99,1,1,199.99
2018-01,2092,0,2,3164.00,3164.00,1,1,1582.00
2018-01,2095,0,6,4425.00,1475.00,1,1,8850.00
2018-01,2106,0,1,5265.00,1755.00,1,1,877.50
2018-01,2112,0,1,1582.00,1582.00,1,1,791.00
2018-01,2118,0,3,4450.00,1335.00,1,1,1335.00
2018-01,2490,0,1,14.99,29.98,1,1,14.99
2018-01,2502,0,1,9.99,9.99,1,1,9.99
2018-01,2511,0,2,12.18,36.54,1,1,8.12
2018-01,2515,0,1,10.05,3.35,1,1,3.35
2018-02,46,0,8,299.90,149.95,2,1,1199.60
2018-02,48,0,1,749.75,899.70,2,1,149.95
2018-02,54,0,8,296.00,2368.00,2,1,2368.00
2018-02,57,0,1,780.00,156.00,2,1,156.00
2018-02,58,0,10,312.00,156.00,2,1,1560.00
2018-02,60,0,2,312.00,468.00,2,1,312.00
2018-02,61,0,2,724.00,181.00,2,1,362.00
2018-02,63,0,6,1086.00,543.00,2,1,1086.00
2018-02,69,0,1,77.07,51.38,2,1,25.69
2018-02,70,0,7,95.90,47.95,2,1,335.65
2018-02,77,0,6,37.95,37.95,2,1,227.70
2018-02,79,0,8,40.55,81.10,2,1,324.40
2018-02,80,0,3,283.85,81.10,2,1,121.65
2018-02,85,0,2,99.99,299.97,2,1,199.98
2018-02,88,0,6,449.97,899.94,2,1,899.94
2018-02,97,0,1,134.80,337.00,2,1,67.40
2018-02,98,0,4,840.00,600.00,2,1,480.00
2018-02,99,0,2,120.00,840.00,2,1,240.00
2018-02,101,0,13,600.00,360.00,2,1,1560.00
2018-02,104,0,5,230.00,115.00,2,1,575.00
2018-02,105,0,2,345.00,460.00,2,1,230.00
2018-02,108,0,1,531.96,265.98,2,1,132.99
2018-02,113,0,1,749.97,999.96,2,1,249.99
