PRODUCTKEY,PRODUCT_NAME,BRAND,COLOR,UNIT_COST_USD,UNIT_PRICE_USD,SUBCATEGORYKEY,SUBCATEGORY,CATEGORYKEY,CATEGORY
63,WWI 2GB SPY VIDEO RECORDER PEN M300 BLUE,WIDE WORLD IMPORTERS,BLUE,83.24,181.0,104,RECORDING PEN,1,AUDIO
64,WWI 2GB SPY VIDEO RECORDER PEN M300 SILVER,WIDE WORLD IMPORTERS,SILVER,83.24,181.0,104,RECORDING PEN,1,AUDIO
65,WWI 2GB SPY VIDEO RECORDER PEN M300 PURPLE,WIDE WORLD IMPORTERS,PURPLE,83.24,181.0,104,RECORDING PEN,1,AUDIO
66,NT BLUETOOTH STEREO HEADPHONES E52 BLUE,NORTHWIND TRADERS,BLUE,13.1,25.69,106,BLUETOOTH HEADPHONES,1,AUDIO
67,NT BLUETOOTH STEREO HEADPHONES E52 BLACK,NORTHWIND TRADERS,BLACK,13.1,25.69,106,BLUETOOTH HEADPHONES,1,AUDIO
68,NT BLUETOOTH STEREO HEADPHONES E52 YELLOW,NORTHWIND TRADERS,YELLOW,13.1,25.69,106,BLUETOOTH HEADPHONES,1,AUDIO
69,NT BLUETOOTH STEREO HEADPHONES E52 PINK,NORTHWIND TRADERS,PINK,13.1,25.69,106,BLUETOOTH HEADPHONES,1,AUDIO
70,NT WIRELESS BLUETOOTH STEREO HEADPHONES E102 SILVER,NORTHWIND TRADERS,SILVER,22.05,47.95,106,BLUETOOTH HEADPHONES,1,AUDIO
71,NT WIRELESS BLUETOOTH STEREO HEADPHONES E102 BLACK,NORTHWIND TRADERS,BLACK,22.05,47.95,106,BLUETOOTH HEADPHONES,1,AUDIO
72,NT WIRELESS BLUETOOTH STEREO HEADPHONES E102 BLUE,NORTHWIND TRADERS,BLUE,22.05,47.95,106,BLUETOOTH HEADPHONES,1,AUDIO
73,NT WIRELESS BLUETOOTH STEREO HEADPHONES E102 WHITE,NORTHWIND TRADERS,WHITE,22.05,47.95,106,BLUETOOTH HEADPHONES,1,AUDIO
74,NT BLUETOOTH ACTIVE HEADPHONES E202 BLACK,NORTHWIND TRADERS,BLACK,17.45,37.95,106,BLUETOOTH HEADPHONES,1,AUDIO
75,NT BLUETOOTH ACTIVE HEADPHONES E202 WHITE,NORTHWIND TRADERS,WHITE,17.45,37.95,106,BLUETOOTH HEADPHONES,1,AUDIO
76,NT BLUETOOTH ACTIVE HEADPHONES E202 RED,NORTHWIND TRADERS,RED,17.45,37.95,106,BLUETOOTH HEADPHONES,1,AUDIO
77,NT BLUETOOTH ACTIVE HEADPHONES E202 SILVER,NORTHWIND TRADERS,SILVER,17.45,37.95,106,BLUETOOTH HEADPHONES,1,AUDIO
78,NT WIRELESS BLUETOOTH STEREO HEADPHONES E302 SILVER,NORTHWIND TRADERS,SILVER,18.65,40.55,106,BLUETOOTH HEADPHONES,1,AUDIO
79,NT WIRELESS BLUETOOTH STEREO HEADPHONES E302 WHITE,NORTHWIND TRADERS,WHITE,18.65,40.55,106,BLUETOOTH HEADPHONES,1,AUDIO
80,NT WIRELESS BLUETOOTH STEREO HEADPHONES E302 YELLOW,NORTHWIND TRADERS,YELLOW,18.65,40.55,106,BLUETOOTH HEADPHONES,1,AUDIO
81,NT WIRELESS BLUETOOTH STEREO HEADPHONES E302 BLACK,NORTHWIND TRADERS,BLACK,18.65,40.55,106,BLUETOOTH HEADPHONES,1,AUDIO
82,NT WIRELESS BLUETOOTH STEREO HEADPHONES E302 PINK,NORTHWIND TRADERS,PINK,18.65,40.55,106,BLUETOOTH HEADPHONES,1,AUDIO
83,NT WIRELESS BLUETOOTH STEREO HEADPHONES M402 SILVER,NORTHWIND TRADERS,SILVER,45.98,99.99,106,BLUETOOTH HEADPHONES,1,AUDIO
84,NT WIRELESS BLUETOOTH STEREO HEADPHONES M402 RED,NORTHWIND TRADERS,RED,45.98,99.99,106,BLUETOOTH HEADPHONES,1,AUDIO
85,NT WIRELESS BLUETOOTH STEREO HEADPHONES M402 GREEN,NORTHWIND TRADERS,GREEN,45.98,99.99,106,BLUETOOTH HEADPHONES,1,AUDIO
86,NT WIRELESS BLUETOOTH STEREO HEADPHONES M402 BLACK,NORTHWIND TRADERS,BLACK,45.98,99.99,106,BLUETOOTH HEADPHONES,1,AUDIO
87,NT WIRELESS BLUETOOTH STEREO HEADPHONES M402 PURPLE,NORTHWIND TRADERS,PURPLE,45.98,99.99,106,BLUETOOTH HEADPHONES,1,AUDIO
88,NT WIRELESS TRANSMITTER AND BLUETOOTH HEADPHONES M150 BLACK,NORTHWIND TRADERS,BLACK,49.69,149.99,106,BLUETOOTH HEADPHONES,1,AUDIO
89,NT WIRELESS TRANSMITTER AND BLUETOOTH HEADPHONES M150 BLUE,NORTHWIND TRADERS,BLUE,49.69,149.99,106,BLUETOOTH HEADPHONES,1,AUDIO
90,NT WIRELESS TRANSMITTER AND BLUETOOTH HEADPHONES M150 SILVER,NORTHWIND TRADERS,SILVER,49.69,149.99,106,BLUETOOTH HEADPHONES,1,AUDIO
91,NT WIRELESS TRANSMITTER AND BLUETOOTH HEADPHONES M150 GREEN,NORTHWIND TRADERS,GREEN,49.69,149.99,106,BLUETOOTH HEADPHONES,1,AUDIO
92,NT WIRELESS TRANSMITTER AND BLUETOOTH HEADPHONES M150 RED,NORTHWIND TRADERS,RED,49.69,149.99,106,BLUETOOTH HEADPHONES,1,AUDIO
93,WWI STEREO BLUETOOTH HEADPHONES E1000 BLUE,WIDE WORLD IMPORTERS,BLUE,34.36,67.4,106,BLUETOOTH HEADPHONES,1,AUDIO
94,WWI STEREO BLUETOOTH HEADPHONES E1000 BLACK,WIDE WORLD IMPORTERS,BLACK,34.36,67.4,106,BLUETOOTH HEADPHONES,1,AUDIO
95,WWI STEREO BLUETOOTH HEADPHONES E1000 SILVER,WIDE WORLD IMPORTERS,SILVER,34.36,67.4,106,BLUETOOTH HEADPHONES,1,AUDIO
96,WWI STEREO BLUETOOTH HEADPHONES E1000 WHITE,WIDE WORLD IMPORTERS,WHITE,34.36,67.4,106,BLUETOOTH HEADPHONES,1,AUDIO
97,WWI STEREO BLUETOOTH HEADPHONES E1000 GREEN,WIDE WORLD IMPORTERS,GREEN,34.36,67.4,106,BLUETOOTH HEADPHONES,1,AUDIO
98,WWI WIRELESS BLUETOOTH STEREO HEADPHONES M170 SILVER,WIDE WORLD IMPORTERS,SILVER,55.18,120.0,106,BLUETOOTH HEADPHONES,1,AUDIO
99,WWI WIRELESS BLUETOOTH STEREO HEADPHONES M170 BLACK,WIDE WORLD IMPORTERS,BLACK,55.18,120.0,106,BLUETOOTH HEADPHONES,1,AUDIO
100,WWI WIRELESS BLUETOOTH STEREO HEADPHONES M170 WHITE,WIDE WORLD IMPORTERS,WHITE,55.18,120.0,106,BLUETOOTH HEADPHONES,1,AUDIO
101,WWI WIRELESS BLUETOOTH STEREO HEADPHONES M170 PINK,WIDE WORLD IMPORTERS,PINK,55.18,120.0,106,BLUETOOTH HEADPHONES,1,AUDIO
102,WWI WIRELESS BLUETOOTH STEREO HEADPHONES M270 SILVER,WIDE WORLD IMPORTERS,SILVER,52.88,115.0,106,BLUETOOTH HEADPHONES,1,AUDIO
103,WWI WIRELESS BLUETOOTH STEREO HEADPHONES M270 BLACK,WIDE WORLD IMPORTERS,BLACK,52.88,115.0,106,BLUETOOTH HEADPHONES,1,AUDIO
104,WWI WIRELESS BLUETOOTH STEREO HEADPHONES M270 WHITE,WIDE WORLD IMPORTERS,WHITE,52.88,115.0,106,BLUETOOTH HEADPHONES,1,AUDIO
105,WWI WIRELESS BLUETOOTH STEREO HEADPHONES M270 PINK,WIDE WORLD IMPORTERS,PINK,52.88,115.0,106,BLUETOOTH HEADPHONES,1,AUDIO
106,WWI STEREO BLUETOOTH HEADPHONES NEW GENERATION M370 BLACK,WIDE WORLD IMPORTERS,BLACK,61.16,132.99,106,BLUETOOTH HEADPHONES,1,AUDIO
107,WWI STEREO BLUETOOTH HEADPHONES NEW GENERATION M370 WHITE,WIDE WORLD IMPORTERS,WHITE,61.16,132.99,106,BLUETOOTH HEADPHONES,1,AUDIO
108,WWI STEREO BLUETOOTH HEADPHONES NEW GENERATION M370 YELLOW,WIDE WORLD IMPORTERS,YELLOW,61.16,132.99,106,BLUETOOTH HEADPHONES,1,AUDIO
109,WWI STEREO BLUETOOTH HEADPHONES NEW GENERATION M370 ORANGE,WIDE WORLD IMPORTERS,ORANGE,61.16,132.99,106,BLUETOOTH HEADPHONES,1,AUDIO
110,WWI STEREO BLUETOOTH HEADPHONES NEW GENERATION M370 BLUE,WIDE WORLD IMPORTERS,BLUE,61.16,132.99,106,BLUETOOTH HEADPHONES,1,AUDIO
111,WWI WIRELESS TRANSMITTER AND BLUETOOTH HEADPHONES X250 BLACK,WIDE WORLD IMPORTERS,BLACK,82.83,249.99,106,BLUETOOTH HEADPHONES,1,AUDIO
112,WWI WIRELESS TRANSMITTER AND BLUETOOTH HEADPHONES X250 BLUE,WIDE WORLD IMPORTERS,BLUE,82.83,249.99,106,BLUETOOTH HEADPHONES,1,AUDIO
113,WWI WIRELESS TRANSMITTER AND BLUETOOTH HEADPHONES X250 WHITE,WIDE WORLD IMPORTERS,WHITE,82.83,249.99,106,BLUETOOTH HEADPHONES,1,AUDIO
114,WWI WIRELESS TRANSMITTER AND BLUETOOTH HEADPHONES X250 RED,WIDE WORLD IMPORTERS,RED,82.83,249.99,106,BLUETOOTH HEADPHONES,1,AUDIO
115,WWI WIRELESS TRANSMITTER AND BLUETOOTH HEADPHONES X250 SILVER,WIDE WORLD IMPORTERS,SILVER,82.83,249.99,106,BLUETOOTH HEADPHONES,1,AUDIO
116,"ADVENTURE WORKS 20"" CRT TV E15 SILVER",ADVENTURE WORKS,SILVER,86.67,169.99,201,TELEVISIONS,2,TV AND VIDEO
117,"ADVENTURE WORKS 20"" CRT TV E15 BLACK",ADVENTURE WORKS,BLACK,86.67,169.99,201,TELEVISIONS,2,TV AND VIDEO
118,"ADVENTURE WORKS 20"" CRT TV E15 WHITE",ADVENTURE WORKS,WHITE,86.67,169.99,201,TELEVISIONS,2,TV AND VIDEO
119,"ADVENTURE WORKS 13"" COLOR TV E25 SILVER",ADVENTURE WORKS,SILVER,61.17,119.99,201,TELEVISIONS,2,TV AND VIDEO
120,"ADVENTURE WORKS 13"" COLOR TV E25 BLACK",ADVENTURE WORKS,BLACK,61.17,119.99,201,TELEVISIONS,2,TV AND VIDEO
121,"ADVENTURE WORKS 13"" COLOR TV E25 WHITE",ADVENTURE WORKS,WHITE,61.17,119.99,201,TELEVISIONS,2,TV AND VIDEO
122,"ADVENTURE WORKS 19"" PORTABLE LCD HDTV M110 SILVER",ADVENTURE WORKS,SILVER,128.76,279.99,201,TELEVISIONS,2,TV AND VIDEO
123,"ADVENTURE WORKS 19"" PORTABLE LCD HDTV M110 BLACK",ADVENTURE WORKS,BLACK,128.76,279.99,201,TELEVISIONS,2,TV AND VIDEO
124,"ADVENTURE WORKS 19"" PORTABLE LCD HDTV M110 WHITE",ADVENTURE WORKS,WHITE,128.76,279.99,201,TELEVISIONS,2,TV AND VIDEO
125,"ADVENTURE WORKS 19"" COLOR DIGITAL TV E35 SILVER",ADVENTURE WORKS,SILVER,73.11,143.4,201,TELEVISIONS,2,TV AND VIDEO
126,"ADVENTURE WORKS 19"" COLOR DIGITAL TV E35 BLACK",ADVENTURE WORKS,BLACK,73.11,143.4,201,TELEVISIONS,2,TV AND VIDEO
127,"ADVENTURE WORKS 19"" COLOR DIGITAL TV E35 WHITE",ADVENTURE WORKS,WHITE,73.11,143.4,201,TELEVISIONS,2,TV AND VIDEO
128,"ADVENTURE WORKS 19"" COLOR DIGITAL TV E35 BROWN",ADVENTURE WORKS,BROWN,73.11,143.4,201,TELEVISIONS,2,TV AND VIDEO
129,"ADVENTURE WORKS 20"" ANALOG CRT TV E45 SILVER",ADVENTURE WORKS,SILVER,101.97,200.0,201,TELEVISIONS,2,TV AND VIDEO
130,"ADVENTURE WORKS 20"" ANALOG CRT TV E45 BLACK",ADVENTURE WORKS,BLACK,101.97,200.0,201,TELEVISIONS,2,TV AND VIDEO
131,"ADVENTURE WORKS 20"" ANALOG CRT TV E45 WHITE",ADVENTURE WORKS,WHITE,101.97,200.0,201,TELEVISIONS,2,TV AND VIDEO
132,"ADVENTURE WORKS 20"" ANALOG CRT TV E45 BROWN",ADVENTURE WORKS,BROWN,101.97,200.0,201,TELEVISIONS,2,TV AND VIDEO
133,"ADVENTURE WORKS 20"" LCD HDTV M120 SILVER",ADVENTURE WORKS,SILVER,160.93,349.95,201,TELEVISIONS,2,TV AND VIDEO
134,"ADVENTURE WORKS 20"" LCD HDTV M120 BLACK",ADVENTURE WORKS,BLACK,160.93,349.95,201,TELEVISIONS,2,TV AND VIDEO
135,"ADVENTURE WORKS 20"" LCD HDTV M120 WHITE",ADVENTURE WORKS,WHITE,160.93,349.95,201,TELEVISIONS,2,TV AND VIDEO
136,"ADVENTURE WORKS 20"" LCD HDTV M120 BROWN",ADVENTURE WORKS,BROWN,160.93,349.95,201,TELEVISIONS,2,TV AND VIDEO
137,"ADVENTURE WORKS 32"" LCD HDTV M130 SILVER",ADVENTURE WORKS,SILVER,229.93,499.99,201,TELEVISIONS,2,TV AND VIDEO
138,"ADVENTURE WORKS 32"" LCD HDTV M130 BLACK",ADVENTURE WORKS,BLACK,229.93,499.99,201,TELEVISIONS,2,TV AND VIDEO
139,"ADVENTURE WORKS 32"" LCD HDTV M130 WHITE",ADVENTURE WORKS,WHITE,229.93,499.99,201,TELEVISIONS,2,TV AND VIDEO
140,"ADVENTURE WORKS 32"" LCD HDTV M130 BROWN",ADVENTURE WORKS,BROWN,229.93,499.99,201,TELEVISIONS,2,TV AND VIDEO
141,"ADVENTURE WORKS 15.6"" LCD TV M130W SILVER",ADVENTURE WORKS,SILVER,152.94,299.99,201,TELEVISIONS,2,TV AND VIDEO
142,"ADVENTURE WORKS 15.6"" LCD TV M130W BLACK",ADVENTURE WORKS,BLACK,152.94,299.99,201,TELEVISIONS,2,TV AND VIDEO
143,"ADVENTURE WORKS 15.6"" LCD TV M130W WHITE",ADVENTURE WORKS,WHITE,152.94,299.99,201,TELEVISIONS,2,TV AND VIDEO
144,"ADVENTURE WORKS 15.6"" LCD TV M130W BROWN",ADVENTURE WORKS,BROWN,152.94,299.99,201,TELEVISIONS,2,TV AND VIDEO
145,"ADVENTURE WORKS 52"" LCD HDTV X590 SILVER",ADVENTURE WORKS,SILVER,960.82,2899.99,201,TELEVISIONS,2,TV AND VIDEO
146,"ADVENTURE WORKS 52"" LCD HDTV X590 BLACK",ADVENTURE WORKS,BLACK,960.82,2899.99,201,TELEVISIONS,2,TV AND VIDEO
147,"ADVENTURE WORKS 52"" LCD HDTV X590 WHITE",ADVENTURE WORKS,WHITE,960.82,2899.99,201,TELEVISIONS,2,TV AND VIDEO
148,"ADVENTURE WORKS 52"" LCD HDTV X590 BROWN",ADVENTURE WORKS,BROWN,960.82,2899.99,201,TELEVISIONS,2,TV AND VIDEO
149,"ADVENTURE WORKS 40"" LCD HDTV M690 SILVER",ADVENTURE WORKS,SILVER,392.6,1184.97,201,TELEVISIONS,2,TV AND VIDEO
150,"ADVENTURE WORKS 40"" LCD HDTV M690 BLACK",ADVENTURE WORKS,BLACK,392.6,1184.97,201,TELEVISIONS,2,TV AND VIDEO
151,"ADVENTURE WORKS 40"" LCD HDTV M690 WHITE",ADVENTURE WORKS,WHITE,392.6,1184.97,201,TELEVISIONS,2,TV AND VIDEO
152,"ADVENTURE WORKS 40"" LCD HDTV M690 BROWN",ADVENTURE WORKS,BROWN,392.6,1184.97,201,TELEVISIONS,2,TV AND VIDEO
153,"ADVENTURE WORKS 26"" 720P LCD HDTV M140 SILVER",ADVENTURE WORKS,SILVER,216.12,469.97,201,TELEVISIONS,2,TV AND VIDEO
154,"ADVENTURE WORKS 26"" 720P LCD HDTV M140 BLACK",ADVENTURE WORKS,BLACK,216.12,469.97,201,TELEVISIONS,2,TV AND VIDEO
155,"ADVENTURE WORKS 26"" 720P LCD HDTV M140 WHITE",ADVENTURE WORKS,WHITE,216.12,469.97,201,TELEVISIONS,2,TV AND VIDEO
156,"ADVENTURE WORKS 26"" 720P LCD HDTV M140 BROWN",ADVENTURE WORKS,BROWN,216.12,469.97,201,TELEVISIONS,2,TV AND VIDEO
157,"ADVENTURE WORKS 37"" 1080P LCD HDTV M150W SILVER",ADVENTURE WORKS,SILVER,505.85,1099.99,201,TELEVISIONS,2,TV AND VIDEO
158,"ADVENTURE WORKS 37"" 1080P LCD HDTV M150W BLACK",ADVENTURE WORKS,BLACK,505.85,1099.99,201,TELEVISIONS,2,TV AND VIDEO
159,"ADVENTURE WORKS 37"" 1080P LCD HDTV M150W WHITE",ADVENTURE WORKS,WHITE,505.85,1099.99,201,TELEVISIONS,2,TV AND VIDEO
160,"ADVENTURE WORKS 37"" 1080P LCD HDTV M150W BROWN",ADVENTURE WORKS,BROWN,505.85,1099.99,201,TELEVISIONS,2,TV AND VIDEO
161,"ADVENTURE WORKS 52"" LCD HDTV X790W SILVER",ADVENTURE WORKS,SILVER,527.53,1592.2,201,TELEVISIONS,2,TV AND VIDEO
162,"ADVENTURE WORKS 52"" LCD HDTV X790W BLACK",ADVENTURE WORKS,BLACK,527.53,1592.2,201,TELEVISIONS,2,TV AND VIDEO
163,"ADVENTURE WORKS 52"" LCD HDTV X790W WHITE",ADVENTURE WORKS,WHITE,527.53,1592.2,201,TELEVISIONS,2,TV AND VIDEO
164,"ADVENTURE WORKS 52"" LCD HDTV X790W BROWN",ADVENTURE WORKS,BROWN,527.53,1592.2,201,TELEVISIONS,2,TV AND VIDEO
165,"ADVENTURE WORKS 42"" LCD HDTV M55 BLACK",ADVENTURE WORKS,BLACK,389.26,763.51,201,TELEVISIONS,2,TV AND VIDEO
166,SV 16XDVD M300 BLACK,SOUTHRIDGE VIDEO,BLACK,54.72,119.0,202,VCD & DVD,2,TV AND VIDEO
167,SV 8XDVD E100 BLACK,SOUTHRIDGE VIDEO,BLACK,35.18,69.0,202,VCD & DVD,2,TV AND VIDEO
168,SV 16XDVD M310 BLACK,SOUTHRIDGE VIDEO,BLACK,59.32,129.0,202,VCD & DVD,2,TV AND VIDEO
169,SV 16XDVD M320 BLACK,SOUTHRIDGE VIDEO,BLACK,54.72,119.0,202,VCD & DVD,2,TV AND VIDEO
170,SV 16XDVD M330 BLACK,SOUTHRIDGE VIDEO,BLACK,50.13,109.0,202,VCD & DVD,2,TV AND VIDEO
